benchmark,model_id,effort,planned,primary_metric,primary,secondary_metric,secondary,primary_percent,secondary_percent,api_completed,attempts,retry_observations,capability_failure_observations,metered_lower_bound_usd,conservative_upper_bound_usd,unpriced_usage_missing_attempts,ttft_ms_p50,ttft_ms_p95,end_to_end_ms_p50,end_to_end_ms_p95,input_tokens,output_tokens,reasoning_tokens,cached_input_tokens,cache_write_input_tokens,primary_cost_per_success_usd,secondary_cost_per_success_usd
classification-routing,gpt-4.1-2025-04-14,omitted,192,task success,0.984375,,,98.4375,,192,192,0,0,0.14831,0.14831,0,506.017,1492.559,667.389,1822.568,71211,736,0,0,0,0.0007847089947089947,
structured-document-extraction,gpt-4.1-2025-04-14,omitted,192,address-normalized document accuracy,0.9270833333333334,strict document accuracy,0.9270833333333334,92.70833333333334,92.70833333333334,192,192,0,0,0.977292,0.977292,0,577.058,1718.378,3298.525,6734.091,170682,79491,0,0,0,0.005490404494382023,0.005490404494382023
banking77,gpt-4.1-2025-04-14,omitted,3080,exact-match accuracy,0.785065,,,78.5065,,3080,3080,0,0,3.372096,3.372096,0,487.312,1034.363,646.675,1278.357,1624664,15346,0,0,0,0.0013945806451612904,
cord-ocr,gpt-4.1-2025-04-14,omitted,100,entity F1,0.468872,,,46.8872,,100,100,0,0,0.696184,0.696184,0,649.444,1224.635,2204.048,4668.928,218684,32352,0,0,0,,
cord-image,gpt-4.1-2025-04-14,omitted,100,entity F1,0.686275,,,68.6275,,100,100,0,0,0.576156,0.576156,0,1409.912,2620.295,3246.511,6175.242,157810,32567,0,0,0,,
extractbench,gpt-4.1-2025-04-14,omitted,370,mean unified-value F1,0.787832286,,,78.7832286,,369,370,0,1,27.650146,27.650146,0,3227.163,17665.068,12232.895,57251.21,10953741,843185,0,668544,0,,
gsm8k,gpt-4.1-2025-04-14,omitted,100,task success,0.94,,,94.0,,100,100,0,0,0.184344,0.184344,0,537.694,1029.226,1729.716,2968.037,8368,20951,0,0,0,0.0019611063829787236,
math500,gpt-4.1-2025-04-14,omitted,100,task success,0.91,,,91.0,,100,100,0,0,0.66878,0.66878,0,509.379,1083.743,3394.903,14231.143,9566,81206,0,0,0,0.007349230769230769,
aime,gpt-4.1-2025-04-14,omitted,60,task success,0.38333333333333336,,,38.333333333333336,,60,60,0,0,1.742436,1.742436,0,535.581,810.144,19322.76,43160.815,10522,215174,0,0,0,0.07575808695652174,
gpqa,gpt-4.1-2025-04-14,omitted,198,task success,0.69697,,,69.697,,197,198,0,1,1.217596,1.217596,0,533.151,1127.483,4520.052,11414.916,45994,140701,0,0,0,0.008823159420289854,
